field1,field2,field3,field4,field5,refkey1,refkey2
night,term,193.68,run,3.643,agreement,evening
south,something,748.8,too,4.791,age,rate
instead,response,201.24,husband,0.288,wonder,house
education,her,260.54,pick,3.986,various,together
name,land,116.43,authority,1.28,black,her
may,participant,397.49,time,9.156,miss,serious
energy,recent,104.53,town,9.438,wife,possible
her,cost,990.8,language,6.713,director,professor
house,film,899.47,or,6.359,democratic,response
laugh,food,260.17,push,4.434,camera,their
college,international,259.43,technology,1.458,appear,third
entire,international,267.01,authority,7.562,successful,against
go,much,903.59,gas,9.819,tough,raise
heavy,political,52.31,unit,6.213,language,under
city,role,953.17,food,5.673,apply,can
first,involve,871.82,direction,6.812,if,finish
student,expect,985.23,common,7.664,wind,view
north,with,491.98,tend,4.47,arrive,same
near,just,162.17,too,4.407,suddenly,west
act,doctor,299.95,allow,8.649,available,cover
mouth,second,501.53,security,8.816,despite,home
hospital,pick,72.78,thus,4.359,rich,field
blue,poor,72.27,security,0.789,look,upon
result,discover,544.2,close,1.041,example,large
ten,set,671.31,use,0.879,better,most
true,their,206.06,when,4.789,one,run
glass,second,638.84,fight,6.59,market,environment
recognize,cover,753.68,actually,4.209,time,part
field,forward,766.87,market,4.037,recognize,front
people,trip,499.51,try,6.479,front,however
card,force,712.14,leave,3.146,vote,help
southern,close,465.76,pay,9.247,specific,always
become,federal,792.23,whether,0.133,Democrat,school
current,daughter,177.54,church,8.585,like,the
social,describe,559.9,good,5.036,add,tell
region,some,93.04,difference,5.852,cut,others
man,business,549.75,fast,9.851,million,near
reason,feel,54.44,occur,8.062,knowledge,itself
clear,miss,872.1,forward,5.76,concern,else
ask,yeah,107.9,century,4.853,development,happy
different,century,786.81,much,9.027,member,house
by,study,768.31,might,6.553,film,general
spend,summer,580.66,body,0.453,save,work
beyond,simple,346.89,international,1.37,science,finish
listen,country,281.64,somebody,3.392,wrong,wrong
would,staff,29.16,growth,8.349,week,near
here,not,318.48,hard,7.114,room,resource
growth,whose,93.87,dream,3.255,and,poor
face,world,720.86,thing,5.85,property,the
fill,become,476.32,hard,4.931,local,police
film,read,638.37,send,2.618,range,party
physical,serious,49.21,their,3.284,any,themselves
measure,trial,928.06,will,8.154,fish,structure
require,share,505.39,word,0.865,help,appear
little,medical,595.7,idea,5.367,walk,write
increase,economic,525.97,candidate,2.752,do,season
Republican,brother,799.02,fish,0.453,continue,trade
minute,degree,202.75,girl,8.634,head,program
theory,cause,640.26,lose,3.821,find,happy
free,throw,524.55,her,5.905,research,once
beautiful,by,345.26,near,8.034,specific,improve
reason,adult,491.09,total,5.968,the,peace
past,main,196.55,woman,0.115,site,detail
agency,decade,308.64,growth,7.87,both,religious
sell,show,822.99,light,9.621,simply,toward
window,early,527.85,economy,9.784,toward,middle
owner,prepare,108.26,control,5.825,professional,nice
behind,surface,792.69,such,1.652,of,practice
raise,situation,478.53,full,4.847,everyone,however
call,it,317.13,central,0.865,see,on
laugh,easy,267.18,mission,7.396,party,dark
speech,wife,239.96,behind,2.22,history,food
fund,seven,814.37,order,1.148,program,ask
instead,its,627.49,major,4.808,activity,four
happy,final,147.62,relationship,6.685,design,art
their,matter,974.85,father,5.541,would,weight
possible,leader,145.4,weight,6.239,involve,air
next,four,914.87,night,9.263,soldier,book
if,state,753.06,form,8.096,practice,than
concern,much,464.25,friend,8.073,popular,able
mouth,public,607.11,accept,1.257,support,main
school,magazine,330.08,raise,5.866,power,report
establish,say,660.57,door,7.89,employee,involve
sell,program,921.42,role,9.56,arm,certain
government,talk,814.64,follow,1.946,system,message
water,office,809.89,travel,1.635,finally,many
than,result,901.81,former,3.491,clear,lead
ground,note,714.6,cell,8.361,respond,live
care,father,934.75,bank,6.618,bed,business
result,great,443.64,late,5.081,sometimes,history
person,smile,764.22,appear,0.513,whom,fill
whose,else,873.33,daughter,5.873,lose,sea
least,staff,674.1,contain,3.442,relate,test
clearly,agreement,441.92,amount,2.818,main,human
glass,exist,879.64,indicate,9.274,discover,movement
wide,magazine,148.64,himself,8.223,place,cold
hour,pay,394.17,low,9.696,term,table
road,ask,763.75,claim,6.892,push,dog
around,chair,405.14,different,4.889,site,allow
task,student,690.85,even,8.159,north,subject
still,such,126.37,reflect,1.014,night,weight
yard,light,200.93,treatment,2.473,close,challenge
simply,option,462.19,either,6.354,later,team
economy,never,59.47,power,5.621,director,avoid
increase,lay,125.08,how,8.607,matter,challenge
ready,grow,711.24,man,6.352,product,size
scene,glass,754.24,grow,4.374,hot,create
ability,election,608.32,vote,6.604,mention,bag
instead,financial,687.45,those,3.24,sure,box
upon,daughter,811.06,west,1.754,unit,develop
cultural,series,123.06,sister,6.759,interest,easy
machine,third,1.78,since,6.374,dinner,under
close,standard,673.36,but,1.827,much,me
happen,identify,375.98,economic,9.534,heavy,commercial
think,trip,380.92,many,6.276,ask,common
ahead,mind,430.3,near,0.589,cup,fill
myself,behavior,587.38,as,6.258,sign,add
write,strategy,958.3,suddenly,4.861,drug,lead
argue,movie,607.63,activity,3.069,page,drive
water,raise,230.48,certain,7.96,by,book
five,people,81.89,treat,7.487,center,get
during,recognize,566.94,car,5.08,protect,reflect
agreement,walk,761.04,memory,9.318,might,road
cold,teach,535.01,despite,4.621,never,success
century,close,374.44,already,4.229,determine,sit
include,return,860.21,check,5.349,ahead,outside
each,election,76.8,step,7.461,travel,feel
game,best,31.06,measure,0.785,many,east
pull,then,633.42,war,5.592,huge,painting
small,discuss,753.7,loss,1.592,firm,every
past,air,532.69,page,7.964,who,recently
not,lay,187.66,office,9.127,skill,together
rate,apply,977.23,teach,0.67,wait,cause
street,fly,408.78,tree,2.525,enter,into
child,less,114.49,win,5.396,wish,office
help,international,134.74,anyone,0.959,when,check
last,modern,805.67,impact,5.95,suffer,may
race,thus,122.88,door,2.443,value,officer
against,account,792.33,alone,3.628,easy,shoulder
reflect,number,439.11,both,5.549,begin,here
language,toward,371.77,standard,9.874,huge,painting
technology,happy,687.57,again,4.302,suffer,environment
toward,find,305.15,enjoy,0.989,we,protect
prove,home,616.86,letter,3.109,market,choose
eight,simply,704.68,hair,6.039,statement,Republican
beyond,item,103.57,too,2.093,just,dark
think,fill,585.76,machine,5.044,staff,same
structure,marriage,6.67,turn,1.481,budget,term
society,popular,892.07,real,7.421,military,capital
reflect,in,355.89,call,3.906,glass,green
fly,perhaps,234.49,provide,9.686,board,TV
school,health,942.33,final,7.513,writer,these
church,here,156.69,research,0.908,choice,sing
skill,opportunity,566.0,card,4.58,million,century
look,pressure,544.95,city,5.771,card,such
service,traditional,585.05,check,9.046,yard,join
TV,market,830.82,catch,1.814,begin,stay
establish,believe,452.57,thank,4.744,small,possible
eat,argue,280.58,song,2.274,reality,too
black,successful,151.78,understand,0.98,poor,effort
program,while,194.5,condition,9.153,want,politics
business,soldier,34.36,important,7.506,old,boy
mention,surface,597.22,buy,0.323,something,fine
necessary,law,583.08,social,1.759,meet,they
lay,sure,366.91,traditional,0.449,that,party
record,go,810.37,environment,0.711,song,society
well,the,83.69,move,4.666,field,government
big,put,573.64,explain,2.657,million,message
clearly,take,769.76,nation,1.043,late,which
police,form,968.95,window,1.697,win,box
provide,weight,548.69,wear,7.041,team,my
send,prove,266.24,strategy,6.744,what,especially
buy,everybody,477.33,step,6.364,get,cover
science,sense,466.94,market,4.545,member,face
story,support,754.11,hundred,7.086,personal,have
group,young,866.4,child,8.317,rest,traditional
receive,choice,424.89,network,3.084,green,radio
we,owner,194.29,spring,5.052,way,pretty
production,perform,700.06,yes,3.898,well,firm
question,be,912.35,child,0.363,change,provide
onto,feel,823.97,seek,1.527,rock,painting
there,crime,310.58,thank,1.052,table,arm
purpose,song,331.44,common,6.28,administration,save
drop,mother,528.66,president,5.597,hard,now
apply,not,62.43,summer,2.939,doctor,leader
base,third,143.23,spring,2.775,easy,no
this,rest,211.93,available,8.408,fact,seem
reveal,example,78.71,care,5.519,notice,hundred
care,have,590.08,special,0.943,theory,leader
card,color,943.28,executive,8.842,product,couple
ready,surface,866.32,attention,4.867,leader,power
into,argue,763.27,few,4.271,data,job
throw,edge,866.93,find,0.174,five,choice
word,Republican,291.31,should,0.821,air,near
that,good,504.07,team,0.312,you,fact
two,hair,393.87,world,6.803,until,company
political,present,425.1,five,5.683,office,growth
base,behind,66.44,child,9.319,his,government
effort,mean,853.1,born,0.22,simple,option
member,each,804.63,thus,6.845,enough,set
always,day,746.97,single,4.067,mean,resource
approach,military,83.29,professional,0.463,difference,all
wide,summer,229.02,north,3.077,painting,weight
phone,avoid,535.79,expect,6.907,recent,nature
from,chance,775.37,administration,7.827,personal,stock
order,sport,504.38,half,8.947,oil,until
structure,yet,296.05,key,7.304,force,without
forward,where,567.25,nothing,9.774,decision,church
hair,couple,439.31,structure,7.648,style,although
often,each,430.27,wait,5.857,operation,other
heavy,occur,955.32,case,0.892,natural,section
response,threat,60.57,bank,3.832,return,floor
factor,little,249.22,drop,6.987,three,message
leader,rather,509.36,national,9.499,sort,teach
huge,born,296.97,region,6.531,want,person
central,daughter,192.15,animal,8.345,receive,service
step,husband,535.87,else,8.283,describe,situation
present,gas,555.55,heart,9.933,military,able
most,place,857.74,every,3.773,threat,reality
over,building,612.46,traditional,5.006,want,defense
into,son,864.08,court,1.486,collection,agreement
probably,paper,929.94,her,9.976,main,teach
include,edge,678.55,those,3.891,see,must
particular,hope,155.24,build,2.335,itself,difference
against,consumer,69.43,big,8.719,accept,meet
account,red,734.66,ago,5.646,sell,record
class,born,133.84,many,2.117,prevent,picture
actually,price,430.61,room,3.415,fly,project
PM,spend,641.23,everything,2.201,or,management
risk,front,876.26,evidence,7.425,hair,according
mention,cut,406.03,so,9.319,pretty,as
resource,sign,985.58,woman,9.03,street,skin
sometimes,yes,195.06,both,0.677,nice,management
figure,PM,416.92,statement,1.317,hour,as
either,product,896.0,war,1.185,sound,wall
manage,down,447.49,western,5.729,time,may
admit,particularly,883.32,possible,2.004,rock,hotel
health,worry,616.46,wear,8.914,thing,live
camera,officer,24.82,move,7.309,guess,citizen
PM,one,608.19,clear,9.86,foreign,national
always,he,734.57,responsibility,9.525,glass,best
hit,reach,710.06,scene,1.102,medical,door
dinner,generation,768.97,appear,3.789,reality,participant
seem,general,27.61,nothing,6.263,ten,affect
fly,order,910.51,candidate,8.86,pay,arrive
although,turn,777.32,team,2.97,fall,herself
space,Congress,728.9,wide,3.691,effort,would
mention,executive,513.17,born,7.187,Mrs,buy
claim,various,734.5,team,5.722,Mr,film
shake,offer,27.2,work,3.29,movement,million
may,require,834.71,interest,1.086,station,yeah
we,whether,990.06,already,4.219,they,fight
middle,would,170.37,direction,4.008,think,bar
goal,tough,258.68,recognize,6.309,think,own
item,simply,188.17,day,1.638,actually,great
main,serve,404.03,surface,2.937,cell,small
address,help,825.54,provide,7.587,lead,song
walk,arm,464.48,man,3.578,raise,peace
have,protect,173.7,example,3.351,me,edge
worry,from,71.55,grow,6.297,save,quickly
weight,although,970.98,one,3.144,feeling,fly
leader,collection,926.1,almost,9.48,president,song
drug,officer,387.11,point,8.996,difficult,ability
bank,operation,587.15,someone,1.257,billion,old
grow,few,727.51,citizen,0.586,least,rich
a,public,105.75,decide,5.694,building,memory
customer,democratic,236.97,clearly,5.817,data,call
discuss,personal,580.68,well,4.861,account,girl
nature,provide,812.58,receive,4.647,marriage,environment
become,yes,847.25,nothing,3.303,society,section
structure,because,750.17,interview,3.007,last,edge
item,though,313.7,stock,1.49,since,no
evening,high,709.2,answer,0.887,suddenly,firm
region,one,411.24,local,0.278,party,least
operation,finish,410.44,other,0.526,organization,fire
important,action,796.42,Mr,3.886,season,commercial
board,act,441.25,society,9.071,learn,treat
whole,recently,443.13,personal,3.927,society,anything
TV,way,851.04,name,8.61,paper,season
big,contain,613.51,century,2.256,care,capital
no,say,952.81,particular,1.306,car,book
probably,figure,364.22,happen,4.953,artist,general
carry,particularly,143.25,stay,7.982,quality,product
within,end,51.94,set,2.697,detail,hold
best,ago,586.04,deep,8.728,strong,give
especially,court,134.55,travel,4.323,parent,Mrs
red,than,688.55,whose,1.193,amount,west
middle,another,484.22,program,6.835,he,east
idea,east,494.09,produce,2.238,spring,system
table,believe,608.27,care,2.51,suffer,here
onto,away,206.14,four,7.245,more,coach
reveal,national,624.84,Congress,4.502,continue,best
not,off,349.27,according,0.869,positive,own
picture,movie,135.09,he,7.176,student,house
room,city,57.54,wrong,0.706,my,player
treat,beautiful,799.33,work,2.447,approach,message
her,official,936.5,professional,7.672,reflect,scene
approach,action,559.96,crime,8.861,student,professional
be,theory,239.47,national,5.459,real,book
peace,billion,147.97,drug,0.448,effort,performance
heavy,suggest,177.2,eye,0.64,return,sea
low,send,505.79,style,6.071,first,argue
plant,also,84.59,bar,2.208,book,mention
training,memory,705.89,long,6.386,quite,town
foreign,walk,714.77,cut,8.21,four,day
truth,note,184.33,far,9.38,firm,back
item,traditional,478.95,usually,4.797,food,money
money,event,826.81,charge,8.254,rule,military
walk,expert,775.66,about,2.658,shoulder,you
when,common,540.01,body,5.934,bank,law
I,only,761.07,policy,5.471,him,industry
beautiful,bring,487.81,its,4.575,game,base
second,be,58.18,animal,4.875,force,various
main,scene,642.03,court,3.72,no,interesting
eat,action,621.22,call,9.607,region,media
city,well,67.99,floor,2.566,coach,operation
focus,claim,376.65,these,3.188,bed,time
relationship,own,723.53,foreign,8.972,doctor,result
sing,purpose,227.36,husband,1.839,address,dog
figure,two,401.28,mean,0.537,bank,capital
worry,red,957.63,player,6.256,shoulder,wall
month,coach,641.62,well,2.805,seven,develop
sit,carry,307.54,operation,3.694,itself,deep
dark,television,90.08,according,8.632,resource,magazine
likely,weight,74.37,across,2.349,outside,body
chance,agency,874.2,give,2.915,skin,third
response,degree,525.18,military,2.887,down,third
health,us,503.32,all,1.28,guy,finally
ago,yes,451.87,officer,2.016,down,key
picture,mention,934.1,return,0.441,pass,her
little,discussion,705.38,life,3.188,section,only
manage,degree,835.87,memory,2.684,stay,few
computer,else,958.04,or,6.882,about,within
figure,board,967.64,Mr,2.906,simply,game
base,mean,415.17,everything,6.904,together,condition
still,nearly,188.03,responsibility,2.284,save,chair
language,itself,85.53,child,1.646,individual,tend
control,rate,94.19,half,6.436,table,east
there,school,132.68,owner,9.982,season,itself
nothing,us,715.18,prevent,1.105,anything,suddenly
common,painting,591.05,positive,3.429,leave,include
type,garden,251.93,style,9.726,picture,forward
spend,threat,249.33,like,1.816,many,raise
base,know,61.39,yard,7.115,level,project
item,answer,189.65,capital,5.182,factor,this
try,responsibility,963.48,stop,3.629,black,standard
improve,modern,398.12,figure,5.055,me,benefit
Mrs,help,592.41,there,0.77,nearly,situation
school,effect,884.49,police,2.371,reason,machine
body,trade,326.7,government,5.86,affect,local
attack,through,379.93,team,1.977,way,I
one,story,452.11,word,0.824,produce,such
generation,success,331.47,first,1.235,describe,exist
painting,represent,624.87,popular,1.287,end,teacher
second,raise,40.04,guy,8.335,two,nice
about,single,619.5,hour,6.049,now,impact
will,wall,367.05,society,1.73,develop,religious
action,themselves,427.1,past,6.026,three,where
analysis,significant,388.15,article,5.403,determine,check
nearly,enough,798.99,concern,3.828,win,kitchen
trip,partner,16.24,strong,9.263,enough,political
blue,weight,2.87,suffer,2.953,anything,letter
painting,black,571.18,interesting,2.379,set,couple
suggest,stuff,584.79,bar,0.388,level,subject
glass,enough,955.56,fill,5.123,expect,start
action,increase,332.19,yet,2.854,name,recent
play,central,961.25,several,6.302,side,quite
now,table,24.66,speech,8.698,remember,here
more,cover,755.82,safe,1.716,he,bag
such,sort,691.95,important,7.013,focus,yet
safe,chair,73.37,effort,6.942,owner,tend
glass,likely,163.06,also,1.852,research,information
how,finish,980.99,alone,0.735,big,identify
foot,determine,664.08,company,5.594,evening,teach
player,send,729.59,knowledge,6.298,million,walk
risk,product,607.72,newspaper,7.031,coach,fear
method,inside,856.22,avoid,5.078,middle,these
sing,note,334.81,wide,8.9,together,hour
year,party,437.19,police,3.267,peace,carry
throw,laugh,234.26,other,9.676,current,full
market,apply,945.58,loss,8.784,gas,daughter
teacher,lose,42.37,edge,7.495,home,major
account,head,628.38,affect,3.059,attack,consumer
your,grow,4.55,movement,5.508,garden,difference
reality,theory,97.79,quite,7.678,court,mention
majority,each,380.18,long,8.064,center,debate
wrong,pay,818.2,model,5.722,central,would
movement,skill,444.69,claim,0.943,pick,her
people,small,461.78,final,9.467,type,those
four,form,996.64,entire,9.462,again,along
yet,room,614.66,international,8.34,material,type
today,general,748.84,stay,5.138,her,project
anything,support,199.93,if,8.367,military,be
race,wonder,70.74,public,9.934,group,all
democratic,treat,517.8,speak,3.985,direction,street
simple,chair,136.92,dinner,9.018,benefit,news
reality,step,131.54,modern,1.89,condition,price
group,feel,939.4,face,5.506,six,know
occur,second,607.71,whatever,4.429,now,movie
dream,shoulder,185.85,ever,1.161,growth,military
natural,level,153.4,technology,6.111,nearly,success
little,visit,464.23,claim,8.875,finish,thank
management,seem,852.59,agree,3.076,bank,mother
ago,reason,821.56,since,1.095,from,question
local,under,406.74,although,1.603,step,page
stuff,public,656.65,remember,1.692,likely,crime
could,their,216.85,buy,2.634,attorney,rather
eye,industry,973.79,stock,0.661,although,fill
responsibility,half,955.35,pull,6.357,a,increase
add,whether,508.66,near,6.004,rule,campaign
produce,process,260.32,great,6.509,police,yet
probably,point,354.97,window,2.546,individual,style
send,agree,110.66,movie,2.157,happy,agreement
drop,picture,762.87,fly,5.746,will,him
this,continue,700.89,must,8.557,could,difficult
specific,try,535.8,individual,6.174,majority,suffer
reason,step,316.24,smile,5.042,building,likely
poor,true,643.69,grow,2.299,guy,record
show,staff,969.23,blood,3.633,page,never
field,court,849.81,cultural,4.196,be,particularly
since,available,78.21,billion,1.246,pick,under
address,now,661.27,positive,8.314,avoid,future
two,bar,436.78,really,4.52,natural,history
less,painting,618.98,three,3.688,on,even
sister,glass,45.69,because,5.199,south,newspaper
ago,that,530.29,every,9.572,treat,night
name,war,25.88,decide,3.51,economy,chair
day,ready,807.1,develop,6.918,happy,else
trial,all,425.1,loss,1.563,service,southern
not,anyone,955.68,chance,1.859,explain,capital
evidence,serious,499.99,under,6.837,build,assume
window,seat,756.22,nice,8.384,garden,hit
pressure,after,112.45,activity,1.588,memory,to
to,building,929.88,word,3.939,institution,detail
civil,tough,109.24,nation,4.03,after,miss
thing,country,187.82,production,1.89,your,turn
whole,level,313.38,even,1.113,create,during
book,table,787.48,coach,3.871,bar,happy
message,same,399.2,no,1.37,write,bar
peace,relate,993.37,official,7.969,you,discover
nice,amount,550.64,any,7.756,year,late
few,talk,23.61,check,1.322,real,wide
structure,environment,768.86,beat,3.723,road,task
indeed,them,155.75,education,7.884,score,economic
well,per,618.95,new,3.024,authority,head
matter,land,819.16,attorney,0.853,child,place
machine,than,155.33,catch,7.029,me,discussion
little,simple,717.56,top,1.19,feel,tonight
catch,responsibility,262.45,difficult,9.726,another,wall
reflect,forward,958.84,concern,8.914,benefit,front
hard,entire,419.61,authority,8.24,push,exist
evidence,live,367.93,TV,3.376,mother,task
down,never,770.4,reach,6.953,green,nothing
art,industry,798.15,second,8.624,brother,she
article,college,726.04,opportunity,5.006,course,half
affect,agency,669.49,rise,6.654,western,wonder
at,approach,415.87,discuss,8.434,best,instead
rise,article,777.47,employee,1.033,system,process
assume,born,938.79,various,0.851,writer,minute
boy,weight,303.91,between,7.674,itself,over
gas,sister,863.45,likely,0.894,agreement,person
water,color,146.5,determine,4.523,leg,share
continue,security,243.6,however,7.515,member,he
factor,second,316.21,although,6.866,scene,cell
glass,herself,937.46,mention,8.537,herself,think
on,already,854.95,source,3.317,media,response
the,magazine,192.71,yourself,0.956,car,age
wonder,budget,28.64,dream,0.956,more,machine
speech,war,822.98,involve,7.9,who,work
firm,discussion,511.03,prevent,9.491,nice,bag
item,find,410.12,right,9.894,political,physical
coach,attention,432.06,dark,9.376,run,main
as,early,449.45,rich,3.792,number,head
boy,standard,275.61,fund,1.488,environmental,example
hot,quality,951.36,cover,4.685,south,husband
send,similar,326.89,job,8.225,scientist,family
also,usually,234.8,wide,5.057,lay,moment
matter,large,654.46,try,4.858,strong,art
policy,theory,512.16,appear,5.779,unit,month
know,staff,168.0,to,4.968,choice,rich
turn,sport,690.38,world,3.295,explain,line
husband,wife,863.45,way,4.996,building,type
whole,change,165.26,simple,7.774,reveal,trip
after,a,396.24,once,2.607,discussion,smile
fear,light,509.13,space,2.026,likely,when
social,develop,326.44,fear,0.403,Mrs,life
rich,trouble,241.67,together,5.314,together,mind
term,perhaps,609.36,data,8.068,most,put
quality,pretty,687.6,heart,8.686,any,sport
fast,although,58.16,major,3.612,month,seat
culture,civil,367.58,chance,5.083,free,quite
and,bring,990.43,clearly,0.127,reveal,experience
keep,argue,346.91,anyone,7.693,guess,right
firm,send,159.22,present,0.67,general,very
show,month,497.06,condition,5.733,go,camera
billion,wish,179.31,so,3.092,weight,identify
system,cut,361.52,radio,8.186,scientist,partner
size,include,931.97,what,3.044,to,here
see,teacher,922.12,degree,2.298,these,language
way,history,190.83,want,3.719,in,free
woman,quickly,24.14,because,3.906,with,eat
compare,fight,407.53,seem,5.944,around,worker
best,professor,603.79,arm,7.241,girl,thus
decade,answer,646.39,to,1.74,professor,race
well,beyond,319.89,issue,9.344,want,point
century,audience,147.85,nature,5.232,president,over
second,democratic,679.86,according,1.196,energy,member
create,lose,259.18,ok,6.795,price,ground
class,prevent,619.17,to,9.992,behind,process
another,tend,980.97,speech,4.951,executive,carry
describe,security,273.65,prepare,3.649,free,language
authority,skill,244.36,office,5.565,them,today
Mr,though,651.7,white,6.401,east,development
method,instead,883.66,land,3.324,choose,sea
note,red,909.8,benefit,5.519,building,possible
example,meet,390.7,nearly,4.548,difference,about
consumer,relate,135.27,including,7.825,charge,assume
seven,whatever,482.48,we,9.507,mean,fish
technology,general,926.75,director,6.133,nearly,resource
film,computer,795.92,color,5.771,machine,any
draw,any,320.73,across,6.486,his,let
easy,instead,34.24,entire,5.012,law,plant
six,including,608.76,bed,4.711,late,former
trip,piece,216.85,identify,0.678,building,director
interview,whatever,875.72,bar,5.312,to,church
game,without,24.51,miss,1.357,end,production
travel,like,279.2,to,5.872,suggest,trouble
happy,while,565.38,three,2.023,win,nor
herself,space,822.92,car,8.735,expect,before
window,coach,886.22,though,8.227,role,near
fact,tree,627.19,would,4.62,fly,however
near,over,414.74,effect,3.214,challenge,audience
bit,sell,704.17,computer,2.565,yeah,hope
test,heart,819.56,only,9.462,approach,election
letter,way,373.58,sometimes,9.797,from,hundred
difficult,PM,763.84,high,3.405,hard,build
other,decision,575.29,these,3.635,open,back
safe,subject,494.18,include,8.74,move,herself
some,stage,709.77,deal,2.379,run,direction
view,its,6.1,house,4.648,group,list
thing,parent,675.47,rise,9.276,test,put
certainly,themselves,851.5,after,5.703,camera,decide
total,professor,932.96,major,4.59,heart,pattern
see,approach,35.67,newspaper,9.184,dream,body
end,home,704.41,dinner,1.335,worker,medical
themselves,huge,936.67,ever,6.077,military,attention
why,year,151.63,then,6.286,job,attention
across,rate,143.67,result,9.3,would,news
democratic,boy,859.7,center,5.99,medical,mother
training,by,956.27,film,9.488,hotel,pull
picture,free,104.85,up,0.878,parent,sit
two,military,990.25,manager,9.083,serve,better
inside,make,741.77,reason,6.232,political,strategy
hear,should,421.76,civil,0.456,series,affect
take,democratic,468.59,artist,9.299,star,history
draw,race,674.57,determine,0.374,former,claim
great,begin,988.7,forget,5.906,doctor,size
move,already,620.09,even,9.34,economic,rest
make,their,505.04,others,3.105,amount,effort
discover,suffer,795.93,sing,6.475,music,under
paper,yourself,152.25,industry,4.171,develop,parent
thought,each,38.76,hospital,6.062,administration,concern
I,capital,84.72,this,5.279,shoulder,current
health,growth,989.4,popular,3.049,arrive,rest
use,break,644.15,mother,7.271,all,area
prepare,skin,485.72,position,8.384,since,throughout
along,bill,995.02,until,2.95,common,age
reality,week,460.78,sometimes,1.342,water,goal
less,research,530.85,sometimes,6.434,stay,inside
relate,most,363.81,pressure,0.261,left,month
how,according,110.65,outside,1.305,reveal,standard
father,every,906.02,still,6.303,reduce,machine
data,energy,387.09,a,8.671,subject,cover
new,realize,694.29,station,2.064,professional,so
ahead,three,425.6,environmental,5.284,whether,really
perhaps,wife,792.73,tell,2.541,raise,guess
just,money,541.76,quality,2.827,can,television
oil,artist,823.12,attention,3.43,them,eat
goal,up,298.12,commercial,9.048,concern,rock
experience,meeting,545.57,we,7.013,kid,attorney
customer,bar,98.75,soon,4.172,want,tax
capital,even,776.89,science,1.34,style,charge
later,until,386.68,fall,3.999,guy,pattern
nothing,natural,994.12,phone,7.507,project,officer
none,ready,531.14,fish,6.796,beyond,cost
opportunity,image,452.39,next,8.136,discussion,yes
whose,receive,769.95,along,5.296,staff,chance
director,really,763.3,enter,0.931,senior,modern
hold,prove,709.95,theory,5.92,early,according
son,talk,597.46,technology,2.853,way,data
finally,middle,642.27,person,2.493,us,worker
able,should,436.47,occur,8.099,fear,rise
inside,character,422.46,media,8.735,save,national
book,site,88.34,even,7.846,other,whose
nature,civil,167.57,among,8.882,letter,let
term,it,815.15,allow,4.011,continue,decade
suffer,appear,85.92,agent,7.752,light,floor
company,some,945.45,business,5.926,traditional,employee
anything,approach,731.52,plant,1.559,nothing,bar
different,talk,743.71,so,4.401,south,the
to,trade,944.56,better,5.555,crime,too
politics,artist,478.42,every,8.735,walk,nor
rather,pull,694.75,free,0.777,executive,movie
entire,service,503.39,financial,8.333,land,teach
truth,your,951.55,education,3.238,reality,economy
quality,western,841.98,care,8.848,public,human
again,need,648.23,the,6.899,such,card
expect,project,650.22,my,1.461,kid,source
become,need,385.1,type,2.174,rather,degree
office,law,894.54,difference,7.082,politics,without
security,why,13.13,become,3.572,ten,now
number,issue,341.18,share,6.444,court,Congress
face,majority,125.72,school,9.762,bed,control
economy,star,346.7,someone,0.692,able,data
thousand,which,388.06,police,4.553,that,history
thus,keep,192.75,century,1.482,authority,tree
charge,beautiful,164.45,get,3.581,likely,on
art,but,982.4,detail,9.244,there,alone
middle,level,403.15,present,2.756,front,show
type,little,721.19,six,8.69,quite,throughout
although,increase,582.15,program,4.002,long,let
cause,speak,833.6,method,5.461,these,political
story,message,576.46,society,6.752,message,while
large,outside,239.83,want,7.918,thing,support
war,nothing,878.61,goal,2.777,thought,space
guy,management,578.46,article,9.315,now,anyone
exist,traditional,708.59,life,6.555,election,open
feel,any,278.16,window,2.146,of,control
especially,why,390.53,smile,8.689,stage,increase
vote,style,81.85,interesting,1.746,health,mission
but,consumer,239.57,prevent,7.915,human,city
through,citizen,158.17,write,3.549,accept,pattern
account,between,730.8,hold,0.512,pick,kitchen
reflect,speak,586.57,toward,4.77,much,good
check,onto,660.38,fire,5.126,view,water
large,scene,460.78,consumer,8.521,own,clearly
rather,week,926.21,answer,4.304,blood,ten
answer,state,41.86,forward,7.033,case,feeling
sell,during,309.25,late,1.777,interesting,practice
reduce,local,736.96,economy,9.814,gas,range
own,sit,836.9,mean,6.786,stay,argue
center,air,252.19,wind,6.415,successful,performance
have,themselves,316.87,successful,0.738,may,visit
stay,gas,834.29,describe,0.659,city,produce
person,employee,729.27,role,0.927,letter,travel
would,admit,887.97,husband,7.178,protect,affect
answer,race,640.87,low,6.561,between,fight
into,health,935.0,two,7.111,decision,possible
media,never,735.45,mother,4.321,increase,represent
help,fact,461.06,claim,2.435,away,activity
support,action,162.42,evidence,7.16,everyone,pass
commercial,industry,555.36,paper,9.508,suggest,show
commercial,get,975.62,ten,1.134,green,education
kid,main,972.55,senior,9.18,director,simply
rule,sort,86.02,writer,9.758,detail,base
kid,line,211.6,box,3.576,social,east
science,past,487.04,medical,3.451,big,mind
attack,lead,891.05,play,8.946,movement,view
good,candidate,884.77,hand,7.708,speak,ready
recognize,road,818.54,customer,0.938,enough,stand
