refkey1,refdata1,refkey2,refdata2,refdata3,refdata4
deal,whole,among,raise,leave,48.85
career,outside,difference,state,lose,500.66
do,campaign,size,seek,economy,770.44
agreement,husband,later,source,among,525.44
east,factor,letter,physical,live,599.28
sing,usually,main,market,feeling,506.81
expert,thus,center,house,choice,225.27
arrive,board,politics,law,my,438.2
bad,above,attention,rock,pretty,722.27
management,guess,serve,he,area,213.45
test,yeah,toward,per,approach,700.03
boy,far,stage,five,nation,40.24
score,feel,sit,move,say,615.64
page,effect,drive,view,expect,706.22
home,cup,up,seven,option,917.25
hold,large,music,institution,high,595.97
worker,market,reason,event,daughter,108.35
development,name,unit,manage,interesting,148.37
accept,color,pattern,describe,person,209.31
successful,who,the,region,back,461.12
wish,single,film,hold,someone,292.39
item,the,who,study,five,865.96
difficult,recently,media,threat,trip,906.17
among,accept,together,growth,beautiful,310.0
reflect,while,message,your,hundred,262.1
much,once,happy,girl,fill,702.63
front,adult,popular,manager,suddenly,615.44
learn,eye,chair,first,environmental,570.53
year,all,customer,degree,citizen,131.01
first,behind,see,lawyer,plant,321.6
whose,throw,series,full,industry,20.41
program,word,hit,soldier,sense,428.23
college,wear,occur,religious,effort,724.92
job,itself,produce,high,really,936.08
mother,raise,office,coach,north,144.67
begin,world,fall,actually,cold,246.55
wife,I,sort,manager,mother,746.52
rise,brother,cell,police,despite,957.93
capital,whatever,certainly,wide,board,869.43
especially,laugh,station,single,science,171.49
investment,audience,usually,watch,Republican,77.06
attack,quality,order,car,idea,821.31
success,actually,late,I,blood,748.83
painting,real,they,kitchen,no,13.49
serve,structure,life,organization,series,472.05
we,build,protect,very,space,321.24
investment,seven,four,really,sport,168.42
husband,interview,coach,nor,Congress,783.84
daughter,white,section,action,process,53.04
note,song,other,customer,across,167.74
entire,responsibility,today,your,morning,124.77
suggest,voice,realize,military,her,851.03
prevent,reach,conference,become,walk,608.01
near,land,mention,sort,center,620.21
seem,financial,least,father,attorney,572.3
recognize,notice,share,maintain,small,817.35
today,cut,manager,tough,throw,638.68
toward,hear,court,sort,decade,754.37
site,everybody,likely,see,despite,70.29
fast,sense,material,knowledge,any,351.08
executive,drug,traditional,space,least,138.9
visit,interview,project,you,inside,311.61
participant,animal,heart,major,officer,623.85
recent,huge,when,environmental,protect,209.53
theory,fact,its,because,soldier,278.8
indeed,positive,foot,west,push,844.18
dark,rule,say,particular,simply,399.54
career,range,apply,begin,hand,360.74
cost,town,strong,president,apply,580.53
tend,public,drive,majority,Congress,249.45
reflect,clear,reach,operation,seat,209.21
conference,run,continue,begin,candidate,40.83
realize,local,reason,really,food,975.07
require,politics,who,meeting,former,431.21
central,measure,tough,theory,boy,197.52
create,laugh,politics,up,clear,901.62
employee,protect,outside,fund,worker,125.32
able,pretty,which,care,government,430.17
along,power,sound,may,that,40.69
me,quickly,within,ball,sell,403.0
such,early,market,relationship,performance,206.62
east,rest,water,player,four,839.2
term,table,teach,light,because,94.1
people,image,hour,yes,return,568.46
third,attention,president,land,night,400.58
site,hot,student,finally,scientist,11.15
hold,much,reveal,add,have,139.31
audience,lawyer,free,make,enough,206.87
remain,step,become,song,can,727.75
outside,discussion,certainly,mother,add,96.09
that,activity,front,budget,special,878.45
outside,movie,box,artist,most,385.76
rock,mouth,painting,camera,act,552.72
religious,good,yeah,pull,early,91.92
stay,say,wide,son,once,351.47
magazine,candidate,amount,take,mention,982.16
brother,yard,watch,if,account,804.06
discover,necessary,movement,late,benefit,533.58
both,with,face,certain,you,152.05
artist,school,interview,example,hour,516.4
it,will,often,star,trip,233.04
allow,also,range,cup,late,294.15
actually,gas,eat,total,usually,871.18
hair,suddenly,there,firm,set,208.51
special,throw,war,meet,impact,62.37
plant,price,program,all,art,876.34
particular,move,building,movie,certain,40.98
drug,sport,close,much,for,930.19
enjoy,teacher,prove,economic,ground,217.38
training,minute,usually,nor,north,825.91
environmental,also,throw,morning,great,131.18
set,field,dream,many,father,778.16
report,part,over,thank,energy,513.87
point,choose,push,do,measure,349.43
someone,way,civil,room,three,852.87
paper,market,enjoy,space,available,537.17
themselves,matter,point,manager,management,97.32
trouble,mention,last,name,as,348.72
community,receive,wind,Mrs,push,31.45
sign,institution,full,source,though,113.96
front,perhaps,test,morning,artist,358.95
able,walk,their,few,computer,523.52
religious,present,rest,responsibility,down,852.83
fast,moment,heart,recently,establish,289.4
however,test,home,capital,stage,617.96
out,yourself,student,pay,stage,742.23
think,difference,perform,own,article,422.56
something,catch,look,help,factor,510.4
dream,main,body,set,past,642.38
budget,those,meet,save,trial,147.71
factor,law,air,begin,treatment,398.05
home,base,major,cost,thing,351.18
window,which,only,film,pull,396.39
either,main,fill,grow,politics,37.6
skin,film,third,about,gun,760.24
table,figure,local,trouble,will,773.77
population,follow,like,some,light,38.49
deep,next,red,quite,detail,987.73
light,beautiful,billion,hit,life,344.29
free,a,number,represent,treatment,631.4
should,right,western,window,executive,57.76
health,after,mother,really,difference,405.7
analysis,artist,site,maintain,build,101.76
arm,read,several,act,onto,567.97
on,might,almost,side,note,190.52
pretty,meet,pretty,return,business,139.71
positive,level,own,enjoy,big,720.6
thus,mouth,class,use,test,206.67
wonder,wind,development,economy,ask,16.88
fish,five,strong,thank,area,124.95
amount,range,west,system,themselves,698.79
tend,his,clear,fund,really,657.29
prepare,we,tough,bit,different,473.22
how,one,main,big,sometimes,331.92
me,approach,could,follow,grow,551.18
happen,little,name,specific,factor,163.07
bar,yourself,camera,past,bar,630.72
Mr,example,with,face,raise,849.83
else,front,ready,others,decide,934.21
behavior,firm,what,computer,know,550.58
music,ground,do,soon,mission,174.49
modern,plan,weight,beautiful,speech,795.24
measure,matter,majority,again,ok,294.85
expect,however,very,measure,mission,100.89
social,theory,land,machine,live,169.23
really,hear,wait,side,describe,465.16
Congress,this,collection,for,guess,316.3
yet,keep,recently,road,design,41.46
purpose,environment,body,record,manage,407.68
reason,thought,pay,factor,local,831.68
blood,avoid,ten,soon,what,450.8
line,law,recognize,economic,force,486.92
perhaps,might,hot,hospital,campaign,396.34
though,role,without,hour,public,960.48
light,game,task,high,gun,250.6
term,thing,table,young,hospital,977.23
opportunity,space,western,always,majority,281.32
look,strategy,if,every,foreign,820.61
rise,pull,center,until,wind,866.97
team,black,billion,area,buy,619.72
detail,six,audience,television,themselves,87.77
friend,day,better,game,thing,924.92
expert,interest,low,figure,attorney,766.91
lot,population,way,language,vote,760.23
hear,personal,your,few,dog,83.82
exist,color,always,recent,special,578.99
mean,establish,policy,use,door,308.12
TV,special,really,task,admit,24.09
enter,necessary,discover,poor,night,209.37
four,another,late,hold,as,609.52
once,information,without,we,gas,259.21
song,consider,north,relate,man,509.25
about,ever,else,present,support,716.08
customer,hand,answer,group,today,325.51
dream,because,cover,parent,participant,397.92
responsibility,late,student,article,what,848.96
once,high,like,not,ever,434.91
main,green,trade,move,enter,838.51
follow,actually,degree,yeah,defense,717.97
themselves,paper,present,choose,seat,463.25
law,too,feel,lay,college,598.72
billion,not,already,end,partner,124.45
most,value,candidate,fall,or,540.68
gas,require,environment,brother,success,553.86
majority,whatever,environment,if,nothing,578.55
way,at,everything,option,same,867.62
determine,suddenly,sit,individual,poor,542.37
office,property,moment,notice,else,301.57
job,dark,beautiful,cultural,for,779.44
weight,somebody,decision,point,major,544.1
receive,describe,service,son,reason,932.85
me,night,manager,thought,parent,101.05
nothing,reflect,hold,without,model,208.19
economic,these,capital,onto,why,722.68
fill,firm,fast,base,determine,249.99
paper,theory,season,protect,seat,218.66
plant,those,officer,list,hour,976.96
beat,pull,nothing,anyone,family,269.69
property,spend,most,top,win,853.96
development,responsibility,cultural,arrive,everything,553.37
television,give,everybody,natural,five,873.83
memory,direction,another,significant,executive,724.87
occur,hotel,decade,side,free,294.55
minute,be,which,social,left,748.95
throw,adult,again,important,politics,557.62
western,against,certainly,not,argue,705.29
gun,bill,finish,property,bit,4.56
produce,gun,scientist,able,money,345.6
strong,my,class,school,that,94.29
walk,house,write,pattern,also,872.7
business,possible,add,they,allow,559.74
per,power,phone,authority,letter,12.69
air,hospital,you,share,top,426.65
watch,call,most,main,close,83.55
none,nice,tree,film,of,355.53
down,traditional,consumer,after,sea,916.19
spring,police,study,degree,behind,669.68
toward,new,drive,team,avoid,926.77
land,street,officer,industry,often,674.11
represent,military,leader,relate,difference,748.81
actually,according,great,between,when,542.66
talk,somebody,listen,green,huge,228.46
above,central,same,like,official,853.02
toward,style,fill,sell,office,556.94
street,anyone,source,success,hand,426.96
forward,court,challenge,born,about,238.72
well,expert,style,call,collection,460.26
carry,network,to,open,so,774.37
so,everybody,message,arrive,place,91.01
speech,participant,know,arrive,current,976.87
successful,unit,people,nature,movie,407.8
change,apply,provide,anything,company,294.46
free,station,way,prove,business,683.52
well,week,type,heart,support,401.11
must,sometimes,attorney,art,hospital,469.51
personal,myself,good,strategy,strategy,901.39
arm,scientist,foreign,respond,involve,859.41
pressure,series,him,through,wait,647.92
decision,receive,year,his,recognize,232.77
their,responsibility,agent,back,cell,874.24
million,mean,identify,shake,most,881.03
even,place,wear,current,talk,594.16
suffer,war,himself,analysis,capital,717.14
hospital,east,professor,state,impact,398.24
think,husband,me,story,car,73.24
save,should,few,recognize,turn,432.51
gas,same,fast,mission,road,725.47
along,free,a,store,song,342.17
executive,simple,series,kitchen,tell,819.95
reach,charge,some,enjoy,seat,484.24
serious,game,table,everyone,stay,257.51
set,great,material,detail,technology,376.41
value,deal,site,TV,attention,10.41
pass,media,control,out,physical,951.43
health,or,far,relationship,they,780.59
think,example,food,energy,woman,457.05
actually,capital,choice,environment,tree,561.02
nature,development,summer,line,down,848.4
find,set,stop,read,space,512.91
fight,central,yet,mention,generation,610.06
before,ability,resource,their,off,630.06
car,common,book,ready,safe,657.56
continue,possible,letter,million,college,382.67
hot,simply,create,than,room,136.34
south,way,media,range,concern,8.98
see,smile,develop,at,clear,901.84
fish,school,all,truth,size,89.88
image,summer,team,feeling,success,429.54
wonder,manager,capital,employee,member,875.84
pick,find,her,risk,hour,111.62
concern,detail,rock,low,property,105.21
hope,be,local,worry,base,99.69
majority,happy,suffer,production,listen,632.64
party,Congress,wind,policy,whole,593.02
black,industry,blood,little,then,498.08
cup,arrive,glass,reduce,morning,735.32
east,sort,rest,play,successful,786.24
discuss,soon,the,analysis,for,228.46
civil,series,land,over,but,769.52
team,material,these,central,job,65.18
but,collection,evidence,price,good,708.66
cold,bad,TV,year,surface,27.0
they,really,million,itself,never,974.34
run,little,opportunity,only,season,527.27
run,full,step,finish,always,736.67
into,gun,various,international,try,525.36
phone,responsibility,he,effort,benefit,838.69
fill,speak,here,contain,move,445.85
like,themselves,million,important,know,501.44
fear,anyone,long,those,seat,461.52
soldier,yourself,safe,but,when,536.7
indeed,huge,know,rate,miss,241.21
civil,company,main,very,Democrat,771.95
job,open,from,suggest,part,347.41
contain,yeah,perhaps,tax,base,255.51
tough,city,detail,choice,court,919.75
body,TV,the,student,eye,13.73
decade,game,major,also,dark,938.58
next,six,appear,simply,per,19.34
in,join,data,deep,make,993.05
store,tree,week,nothing,why,167.98
little,official,machine,discover,she,111.56
true,everything,more,ground,score,730.78
wind,bag,why,growth,eye,603.62
site,commercial,property,simply,everybody,797.0
determine,during,say,million,really,542.23
why,change,boy,yes,worker,537.39
senior,scene,interview,security,stage,464.31
camera,think,soon,low,miss,441.09
leave,building,any,news,machine,129.01
today,run,imagine,decide,agent,420.27
employee,he,land,behind,behind,480.54
customer,wait,everybody,federal,think,342.12
wear,might,apply,ability,watch,69.73
campaign,whose,these,plan,radio,767.47
notice,close,begin,production,wind,242.91
station,however,within,capital,color,635.14
student,situation,house,pick,indicate,131.92
thing,rule,power,buy,customer,445.37
time,building,shoulder,offer,town,417.36
history,television,actually,spend,couple,543.71
different,worker,hope,senior,value,729.34
knowledge,reality,film,policy,bill,192.0
worker,leader,successful,each,without,870.09
whether,heart,century,some,help,358.66
because,pull,grow,trial,determine,297.71
real,worker,picture,major,television,177.2
moment,skill,economic,remember,visit,746.18
fish,human,have,enough,store,645.38
over,mother,physical,air,star,351.63
condition,force,until,four,city,900.11
truth,fact,human,bring,material,346.04
society,establish,western,radio,same,316.62
few,society,keep,wall,buy,403.21
article,ok,crime,test,trade,818.83
lawyer,not,include,food,than,548.2
traditional,two,should,recent,perhaps,751.13
door,answer,few,attack,Mrs,248.04
themselves,network,morning,plant,see,566.27
kitchen,fact,one,into,size,697.27
everyone,must,take,especially,evening,627.83
compare,he,war,provide,throughout,862.27
industry,benefit,student,person,PM,422.42
later,bring,matter,appear,information,299.89
win,occur,analysis,fine,Democrat,788.11
radio,success,mouth,clearly,popular,67.34
thing,culture,author,identify,mouth,705.79
there,power,environmental,on,also,658.39
property,look,run,term,within,420.5
need,hospital,newspaper,out,raise,332.37
rock,can,evidence,gun,civil,915.94
much,career,me,cost,for,767.6
maybe,during,guy,offer,consumer,570.03
worry,black,building,sister,bad,837.05
occur,yes,ago,serve,tonight,494.84
eye,final,commercial,administration,success,756.67
she,study,hear,movement,science,536.29
look,others,go,camera,do,998.55
seek,wall,newspaper,around,maybe,753.73
majority,company,subject,animal,you,53.3
imagine,ever,sell,especially,new,553.74
their,almost,officer,someone,door,355.99
north,dark,theory,laugh,teacher,623.82
play,itself,set,each,phone,205.37
doctor,especially,they,along,every,552.98
few,avoid,program,yet,ball,108.93
something,car,analysis,Democrat,why,553.47
which,free,performance,high,respond,852.7
teacher,why,cost,rich,list,937.96
move,administration,table,rule,partner,306.08
figure,agent,develop,we,hard,502.34
also,open,second,perhaps,happen,512.68
successful,positive,against,everybody,budget,479.66
my,feeling,role,whether,court,903.46
little,could,type,hope,his,505.75
it,special,likely,would,sort,760.52
land,health,material,discussion,move,752.07
second,experience,rate,all,return,65.22
learn,same,student,better,discussion,187.52
face,war,defense,his,blue,564.6
establish,store,after,he,doctor,283.01
analysis,drug,great,hand,success,67.92
activity,development,whom,road,capital,295.25
computer,mind,chance,catch,remain,654.0
remain,make,perhaps,require,although,484.78
specific,body,stock,yeah,six,221.88
lead,night,doctor,executive,building,549.2
price,current,leg,former,determine,466.03
effort,maintain,never,consider,news,969.6
ten,often,someone,guess,car,435.44
public,contain,wind,staff,Congress,572.48
week,all,sell,compare,star,580.12
have,move,report,note,tonight,934.17
fear,performance,career,ground,practice,135.48
toward,Mr,only,listen,local,140.5
grow,dinner,east,idea,think,656.56
source,various,thus,hard,doctor,974.67
everyone,eye,arrive,six,deep,836.83
certain,current,growth,kid,their,553.43
manage,heavy,must,their,time,571.83
argue,fear,receive,activity,everybody,713.38
page,significant,stop,fight,mission,211.04
yeah,design,describe,carry,necessary,110.36
number,prepare,eight,catch,let,81.27
language,feeling,even,fear,skin,883.63
window,these,magazine,model,general,366.46
structure,trial,young,all,protect,261.04
window,property,week,rock,political,556.18
cultural,help,character,he,floor,96.34
minute,through,make,guess,international,454.22
project,people,I,positive,can,296.08
agent,just,drive,wide,nature,796.93
size,cell,thus,provide,well,108.79
present,high,poor,industry,gun,182.87
describe,current,mind,for,western,488.68
age,think,prove,me,behavior,787.11
little,cell,sure,total,cold,545.21
second,affect,report,attorney,doctor,159.21
almost,next,evidence,American,arm,845.84
story,soon,similar,movie,production,247.82
avoid,boy,everybody,senior,director,583.15
identify,show,practice,continue,yet,505.72
source,certainly,table,natural,tend,179.82
room,concern,machine,line,development,999.39
south,former,blood,majority,must,404.87
chance,campaign,put,speech,draw,505.75
use,few,happen,small,consider,224.19
way,million,everyone,window,national,630.81
size,produce,would,maybe,when,479.97
building,listen,system,mother,camera,636.85
ready,into,carry,rather,seem,856.64
home,security,executive,prove,account,236.02
line,agree,almost,seven,watch,14.9
others,work,fight,at,tree,977.95
conference,save,three,our,lead,265.26
probably,really,mission,case,play,597.3
number,cut,executive,ability,author,52.89
strategy,place,coach,agreement,assume,584.53
economic,new,area,memory,sound,588.81
amount,suffer,spend,or,this,728.86
just,on,can,four,these,490.85
son,person,admit,whether,room,415.26
instead,relate,section,charge,second,6.31
lot,watch,everybody,here,method,899.83
travel,hit,body,fast,reveal,692.12
trial,serve,either,history,could,913.52
suffer,score,difficult,student,because,926.46
level,place,national,coach,any,295.48
onto,conference,purpose,whether,rule,357.39
bank,very,little,hold,scene,15.22
however,generation,let,hold,operation,589.4
job,traditional,whole,interesting,commercial,328.46
development,build,identify,sing,professional,411.3
best,throughout,director,understand,capital,563.85
hard,world,go,economy,answer,813.66
themselves,evidence,strong,strong,table,45.79
loss,most,certain,important,report,897.35
police,television,both,hope,determine,750.86
and,design,style,effect,peace,899.94
much,investment,design,describe,say,485.77
special,reason,ability,seek,as,190.54
care,town,once,two,ball,507.73
hospital,find,small,among,above,279.0
market,he,else,will,news,229.43
perhaps,hot,agent,send,for,326.63
our,today,magazine,control,general,276.15
woman,certain,service,subject,particularly,193.05
see,feeling,must,individual,perhaps,552.51
for,gas,she,life,next,520.92
magazine,research,sell,know,sure,611.45
main,carry,base,agree,fast,469.78
rest,offer,respond,while,believe,138.25
group,these,person,network,camera,832.08
meeting,consumer,across,skill,cost,389.91
forward,identify,power,bill,now,224.83
throw,other,policy,choice,board,167.4
certain,room,film,letter,chair,381.78
give,learn,go,over,glass,557.49
at,sing,subject,west,consumer,966.8
cold,positive,form,summer,family,615.87
entire,easy,because,only,different,635.11
miss,example,serious,long,method,836.62
well,thought,coach,also,risk,627.11
office,end,executive,force,who,937.1
century,imagine,very,international,since,953.77
peace,even,thing,budget,why,655.65
difference,sense,mouth,attack,method,782.46
executive,system,will,box,practice,586.43
expert,standard,improve,number,expect,841.67
nearly,story,success,interview,realize,802.42
season,toward,although,until,organization,183.75
gas,despite,skill,policy,though,166.49
note,term,late,soon,benefit,749.82
church,degree,voice,ability,class,385.17
can,determine,less,hard,expert,633.5
without,father,catch,five,soldier,897.47
four,your,group,must,work,687.4
personal,discover,have,clear,Democrat,676.56
summer,knowledge,data,amount,do,398.58
edge,conference,quite,century,court,403.8
herself,team,follow,home,charge,623.8
sense,everyone,democratic,whether,fine,229.16
require,amount,kid,adult,at,18.91
three,subject,message,particularly,class,318.21
doctor,relationship,result,guy,each,843.38
woman,force,relate,fall,lead,886.76
their,point,food,rather,responsibility,151.35
represent,guy,here,million,end,834.0
evidence,challenge,strong,reality,myself,99.81
friend,cost,movement,team,Republican,833.84
free,certain,last,role,hour,693.85
audience,reveal,focus,sell,Democrat,379.45
guess,guess,measure,issue,adult,871.27
international,field,show,cover,of,17.23
world,strong,clear,dark,eat,507.14
kitchen,investment,example,mouth,wide,682.59
save,minute,page,organization,manage,392.17
reality,test,minute,office,purpose,582.19
heart,pass,government,while,including,509.35
hospital,girl,ahead,heart,however,178.74
professor,responsibility,race,local,important,43.72
nor,feel,data,economy,light,721.7
many,fear,remain,instead,every,98.52
daughter,factor,half,knowledge,police,725.15
such,day,challenge,care,respond,500.28
should,process,next,act,discussion,162.83
mean,base,foot,movement,party,902.2
free,for,drop,hundred,generation,212.28
market,art,poor,half,move,930.86
knowledge,purpose,foreign,similar,address,880.3
produce,worker,model,action,significant,449.83
together,health,hour,economy,social,646.79
beyond,hear,eat,too,ahead,992.47
suddenly,involve,bad,face,say,512.06
drop,become,establish,fight,doctor,911.4
public,heavy,national,worker,along,503.75
idea,election,agree,seem,model,792.9
visit,improve,century,offer,impact,223.15
leg,hope,religious,concern,night,256.36
often,rich,mind,loss,interview,471.2
establish,myself,difference,bit,organization,314.52
already,operation,office,know,growth,841.32
street,ago,act,send,before,379.22
relate,tax,act,opportunity,story,388.86
month,industry,direction,opportunity,community,328.38
before,find,science,single,production,992.12
eat,trouble,soon,seven,increase,352.77
have,relationship,team,defense,consumer,721.89
work,less,old,size,ball,211.79
help,answer,appear,boy,tonight,929.72
line,large,future,before,themselves,579.9
course,else,difference,radio,yourself,400.6
car,candidate,tend,arrive,call,32.44
black,start,maintain,stuff,yes,352.15
simply,rock,we,state,take,267.7
man,board,investment,stock,apply,706.2
conference,face,establish,far,why,458.92
try,data,party,anything,old,119.61
even,create,adult,accept,throughout,860.76
school,Republican,class,onto,require,888.94
career,understand,election,fight,activity,271.3
maybe,major,hit,usually,activity,908.44
become,fire,born,measure,participant,261.7
family,state,require,employee,blood,430.16
information,level,ball,employee,degree,145.94
season,one,much,economic,place,571.4
become,environment,computer,soon,outside,389.08
study,herself,kitchen,strategy,water,633.35
three,trial,show,note,idea,378.01
sense,every,effort,learn,keep,982.55
stand,deep,draw,national,last,182.85
practice,media,total,around,it,726.63
agree,itself,pattern,southern,democratic,927.38
media,short,cost,wrong,if,929.51
especially,wonder,represent,rest,positive,870.67
suffer,realize,author,government,kitchen,115.71
theory,huge,real,far,store,133.63
can,seven,three,cup,family,411.08
today,without,pull,research,miss,158.86
last,probably,draw,investment,final,371.27
according,morning,who,word,surface,496.25
threat,he,bad,catch,several,164.61
skin,reason,employee,soldier,person,299.06
suggest,short,character,street,manage,53.23
large,by,street,realize,type,961.36
response,quickly,loss,relate,for,464.96
audience,reason,specific,third,participant,722.49
available,job,cover,support,exactly,681.06
TV,if,event,say,eight,756.82
manager,guy,significant,hour,open,558.25
so,indicate,past,seek,oil,811.47
know,scene,most,prove,nor,846.72
from,cost,question,myself,a,645.84
girl,sense,thus,cup,bill,120.26
apply,newspaper,tree,it,specific,408.7
worry,physical,maybe,floor,enjoy,735.03
field,first,information,seem,thought,913.7
night,near,instead,fund,election,644.15
want,agree,help,deep,begin,31.52
north,then,off,fact,parent,970.12
Congress,the,force,admit,among,653.02
plant,cause,Democrat,paper,feeling,901.28
real,very,believe,sign,others,487.5
keep,claim,else,head,special,903.68
owner,arrive,from,teach,site,461.44
feel,place,cause,trade,door,279.38
claim,owner,put,often,suddenly,741.81
director,work,simply,sign,start,645.82
stand,expect,call,remain,task,900.57
house,again,own,unit,discuss,731.06
building,party,less,Republican,this,938.66
field,dream,participant,discussion,same,480.2
see,local,finish,western,cause,413.26
material,southern,way,car,fight,449.77
push,single,purpose,side,garden,189.98
car,rest,learn,different,and,222.8
a,various,information,painting,college,605.07
husband,move,sort,kind,father,401.99
girl,tonight,table,half,relationship,485.31
place,character,soldier,they,level,12.57
feel,mention,assume,soon,operation,662.86
especially,crime,sort,remember,election,125.67
real,such,include,according,discussion,415.96
analysis,everyone,job,learn,candidate,632.18
perform,report,he,federal,movement,906.09
decide,carry,trouble,clear,less,603.06
social,sister,avoid,lawyer,identify,658.99
hundred,skill,everybody,such,black,325.08
finish,management,high,who,popular,93.32
study,our,mention,dream,wish,650.53
physical,international,treat,throughout,either,59.19
where,young,growth,fish,similar,360.62
a,believe,increase,fall,article,512.59
baby,receive,hospital,treatment,newspaper,199.13
time,management,part,everyone,heart,838.15
herself,store,happy,right,grow,271.84
home,middle,drive,good,take,83.79
common,consumer,serve,rule,thought,935.68
away,cause,bank,guy,likely,457.04
sell,nearly,institution,mind,pick,175.85
discover,want,born,amount,board,402.78
create,start,crime,message,involve,415.39
break,actually,view,heavy,suffer,619.66
skin,who,when,doctor,one,213.77
hotel,cut,Democrat,certain,follow,200.37
almost,through,act,market,red,350.94
attention,decide,month,east,mind,831.6
beat,up,experience,eat,social,638.82
outside,teacher,positive,turn,attack,448.1
attorney,president,pay,majority,ability,845.6
of,find,practice,charge,walk,285.73
tax,medical,just,whole,too,865.91
none,serve,certainly,camera,son,67.47
enjoy,enter,pressure,beautiful,fight,230.62
deep,deep,a,strong,yet,952.4
rich,born,fine,somebody,loss,859.37
toward,pretty,rule,point,leader,440.92
simply,really,which,mother,again,475.83
time,grow,best,base,draw,405.44
over,ahead,rise,center,cut,857.29
else,ability,weight,step,interest,369.12
new,word,door,method,guess,58.07
light,term,we,interesting,bank,614.18
almost,include,begin,open,effort,744.2
stand,scene,garden,sea,southern,847.09
open,sometimes,grow,eye,face,277.77
step,cultural,where,field,drop,736.56
however,them,establish,trip,star,507.72
start,shoulder,last,gas,return,331.0
character,number,soldier,notice,week,767.55
sing,material,understand,political,something,603.96
offer,pass,agree,soon,your,731.92
sell,take,fight,officer,house,350.77
prevent,wonder,tend,window,culture,175.14
left,some,stage,challenge,million,638.06
population,if,side,region,base,56.72
involve,employee,guy,quite,no,345.44
where,candidate,student,year,one,935.74
Mr,age,moment,heavy,edge,418.55
cold,also,fight,rest,officer,289.3
toward,loss,continue,research,job,37.45
fill,several,during,sell,owner,103.13
minute,upon,loss,against,trip,765.32
serve,it,simple,avoid,wonder,385.54
process,determine,fill,evidence,order,786.29
much,entire,upon,when,western,168.37
forget,buy,him,for,billion,420.45
fast,maintain,lose,media,hotel,568.94
interview,loss,away,present,stand,753.55
night,room,challenge,begin,either,944.14
want,line,language,subject,nothing,297.06
history,police,film,finally,continue,320.57
financial,year,son,later,require,326.0
guess,mention,whose,song,media,427.16
population,later,sea,sort,sister,527.18
spend,ball,billion,woman,create,410.3
simply,investment,produce,position,why,103.05
ever,care,without,trip,keep,812.99
option,common,project,surface,future,978.7
from,outside,type,very,local,5.78
thank,order,everybody,late,perhaps,55.57
democratic,follow,which,thing,debate,645.24
cell,which,how,section,culture,418.28
when,recent,term,food,join,61.8
effect,author,toward,trade,game,818.59
break,quickly,water,because,whom,870.25
phone,how,stand,which,particular,216.55
writer,southern,these,trade,ahead,111.25
so,dark,hope,design,often,603.45
view,treat,choice,religious,sell,699.28
without,go,scene,offer,get,370.69
article,others,entire,save,shoulder,826.66
develop,summer,relationship,production,address,699.75
anyone,one,prevent,sense,leader,857.45
director,consumer,much,court,arrive,663.4
show,southern,question,meet,letter,473.01
Congress,night,perform,quite,father,1.69
thought,commercial,nothing,challenge,ago,27.96
west,show,reality,finish,American,265.14
week,answer,partner,doctor,recent,145.29
baby,four,peace,ago,and,448.1
window,him,front,tough,whole,414.74
true,you,speak,notice,half,144.77
movement,music,dinner,hit,detail,480.24
industry,law,college,pull,do,5.02
dog,visit,phone,people,stop,565.06
too,modern,around,look,wear,264.76
wide,bag,close,option,store,933.11
she,practice,important,hold,stop,507.81
defense,relationship,the,see,task,352.09
establish,you,each,report,cup,960.18
by,nor,mouth,benefit,forward,1.64
defense,man,son,drug,seem,44.33
style,capital,name,during,night,704.83
customer,heavy,whom,however,determine,511.99
your,professor,wish,mention,experience,426.47
particularly,risk,information,moment,real,2.99
society,able,section,heart,cut,957.61
artist,recently,general,minute,mention,930.8
group,room,radio,wall,wish,955.38
Mr,view,or,appear,majority,467.81
factor,enjoy,phone,market,rich,617.13
explain,investment,alone,sound,off,755.78
vote,thank,professional,total,art,709.7
total,somebody,decade,past,cut,213.93
son,hold,day,full,leader,511.45
candidate,over,bag,national,discover,833.1
necessary,establish,most,project,away,899.84
note,bed,beat,paper,TV,363.3
share,explain,why,live,paper,57.76
alone,lawyer,ever,matter,place,254.43
issue,media,care,door,able,584.98
push,ever,task,current,north,31.74
candidate,there,late,expect,can,450.35
class,environmental,be,lose,lot,814.94
style,here,teach,less,seem,747.63
notice,sing,glass,tough,have,300.26
nor,responsibility,minute,outside,another,437.83
weight,continue,receive,recognize,mind,676.95
short,career,require,just,they,748.51
industry,action,wall,hour,lot,262.79
total,cost,ok,experience,employee,48.15
cut,upon,yard,unit,want,808.39
author,late,price,would,a,257.18
exactly,direction,charge,million,vote,101.07
amount,adult,letter,against,plan,193.28
something,find,generation,service,yeah,983.19
analysis,record,prove,challenge,behavior,711.27
ready,behind,difference,manage,mission,773.42
safe,I,continue,ahead,final,531.44
attack,store,imagine,themselves,huge,350.18
control,very,if,factor,heavy,153.58
page,develop,bad,mind,most,326.07
new,evening,agreement,technology,fund,278.27
suffer,democratic,may,arrive,edge,516.84
member,happy,house,whether,animal,884.82
page,detail,space,one,wait,599.63
fund,and,game,market,audience,961.03
me,result,edge,establish,would,972.69
into,customer,check,full,show,420.74
until,dinner,bank,scene,grow,502.64
would,movie,open,approach,community,285.62
world,ahead,interest,source,put,468.65
